date,cloud_cover,weather_desc
2015-09-25,86,Cloudy
2015-09-26,52,"Partly Cloudy"
2015-09-27,2,Sunny
2015-09-28,20,Sunny
2015-09-29,33,"Partly Cloudy"
2015-09-30,0,Sunny
2015-10-01,0,Sunny
2015-10-02,1,Sunny
2015-10-03,25,Sunny
2015-10-04,37,"Partly Cloudy"
2015-10-05,100,"Light rain"
2015-10-06,40,"Patchy rain nearby"
2015-10-07,100,"Light drizzle"
2015-10-08,4,Sunny
2015-10-09,86,Cloudy
2015-10-10,52,"Partly Cloudy"
2015-10-11,89,"Patchy rain nearby"
2015-10-12,3,Sunny
2015-10-13,47,"Partly Cloudy"
2015-10-14,7,Sunny
2015-10-15,83,Cloudy
2015-10-16,84,Cloudy
2015-10-17,28,"Partly Cloudy"
2015-10-18,96,"Patchy rain nearby"
2015-10-19,86,Cloudy
2015-10-20,48,"Partly Cloudy"
2015-10-21,87,Cloudy
2015-10-22,4,Sunny
2015-10-23,51,"Partly Cloudy"
2015-10-24,18,Sunny
2015-10-25,90,Overcast
2015-10-26,15,Sunny
2015-10-27,40,"Partly Cloudy"
2015-10-28,94,"Light drizzle"
2015-10-29,91,"Light drizzle"
2015-10-30,33,"Partly Cloudy"
2015-10-31,100,"Light drizzle"
2015-11-01,88,Overcast
2015-11-02,4,Sunny
2015-11-03,10,Sunny
2015-11-04,100,Overcast
2015-11-05,60,"Partly Cloudy"
2015-11-06,56,"Partly Cloudy"
2015-11-07,80,"Light drizzle"
2015-11-08,100,"Light rain"
2015-11-09,70,"Patchy light drizzle"
2015-11-10,100,"Patchy rain nearby"
2015-11-11,92,Overcast
2015-11-12,96,Overcast
2015-11-13,65,Cloudy
2015-11-14,100,"Patchy rain nearby"
2015-11-15,100,"Light rain"
2015-11-16,52,"Patchy rain nearby"
2015-11-17,89,Overcast
2015-11-18,21,"Patchy rain nearby"
2015-11-19,62,"Partly Cloudy"
2015-11-20,100,"Light drizzle"
2015-11-21,6,Sunny
2015-11-22,29,"Partly Cloudy"
2015-11-23,100,"Light rain"
2015-11-24,20,Sunny
2015-11-25,40,"Partly Cloudy"
2015-11-26,74,Cloudy
2015-11-27,100,"Light rain"
2015-11-28,100,"Moderate or heavy rain in area with thunder"
2015-11-29,100,"Moderate rain"
2015-11-30,61,"Patchy rain nearby"
2015-12-01,100,"Moderate rain"
2015-12-02,100,"Light drizzle"
2015-12-03,100,"Light drizzle"
2015-12-04,100,Overcast
2015-12-05,100,"Moderate rain"
2015-12-06,11,Sunny
2015-12-07,28,"Patchy rain nearby"
2015-12-08,28,"Partly Cloudy"
2015-12-09,100,"Patchy rain nearby"
2015-12-10,91,"Light rain shower"
2015-12-11,19,Sunny
2015-12-12,83,Cloudy
2015-12-13,83,Cloudy
2015-12-14,91,Overcast
2015-12-15,100,Overcast
2015-12-16,65,Cloudy
2015-12-17,100,"Light drizzle"
2015-12-18,100,Overcast
2015-12-19,66,"Patchy rain nearby"
2015-12-20,100,"Light drizzle"
2015-12-21,100,"Moderate rain"
2015-12-22,100,"Light rain"
2015-12-23,47,"Partly Cloudy"
2015-12-24,48,"Patchy light drizzle"
2015-12-25,79,Cloudy
2015-12-26,100,"Light drizzle"
2015-12-27,7,Sunny
2015-12-28,26,"Partly Cloudy"
2015-12-29,23,Sunny
2015-12-30,100,"Light rain"
2015-12-31,66,"Patchy light drizzle"
2015-01-01,71,"Moderate rain at times"
2015-01-02,44,"Patchy rain nearby"
2015-01-03,5,Sunny
2015-01-04,9,Sunny
2015-01-05,52,"Patchy rain nearby"
2015-01-06,4,Sunny
2015-01-07,53,"Patchy light rain"
2015-01-08,16,Sunny
2015-01-09,50,"Patchy rain nearby"
2015-01-10,21,Sunny
2015-01-11,100,"Moderate rain"
2015-01-12,77,Cloudy
2015-01-13,70,Cloudy
2015-01-14,8,Sunny
2015-01-15,100,"Moderate or heavy sleet"
2015-01-16,15,"Patchy moderate snow"
2015-01-17,51,"Partly Cloudy"
2015-01-18,93,Overcast
2015-01-19,58,"Partly Cloudy"
2015-01-20,75,Cloudy
2015-01-21,82,Cloudy
2015-01-22,63,Cloudy
2015-01-23,100,"Light rain"
2015-01-24,63,"Partly Cloudy"
2015-01-25,100,"Light drizzle"
2015-01-26,47,"Partly Cloudy"
2015-01-27,94,Overcast
2015-01-28,100,"Light snow showers"
2015-01-29,45,"Partly Cloudy"
2015-01-30,15,Sunny
2015-01-31,100,"Patchy rain nearby"
2015-02-01,8,Sunny
2015-02-02,25,Sunny
2015-02-03,24,Sunny
2015-02-04,28,"Partly Cloudy"
2015-02-05,74,Cloudy
2015-02-06,32,"Partly Cloudy"
2015-02-07,34,"Partly Cloudy"
2015-02-08,13,Sunny
2015-02-09,23,Sunny
2015-02-10,15,Sunny
2015-02-11,89,Overcast
2015-02-12,22,Sunny
2015-02-13,65,Cloudy
2015-02-14,83,Cloudy
2015-02-15,12,Sunny
2015-02-16,15,Sunny
2015-02-17,76,Cloudy
2015-02-18,100,"Light drizzle"
2015-02-19,54,"Patchy rain nearby"
2015-02-20,24,Sunny
2015-02-21,24,Sunny
2015-02-22,100,"Light rain"
2015-02-23,30,"Partly Cloudy"
2015-02-24,94,Overcast
2015-02-25,29,"Partly Cloudy"
2015-02-26,39,"Partly Cloudy"
2015-02-27,100,"Patchy rain nearby"
2015-02-28,94,"Patchy rain nearby"
2015-03-01,63,"Light rain shower"
2015-03-02,100,"Light snow showers"
2015-03-03,54,"Light snow showers"
2015-03-04,9,Sunny
2015-03-05,88,Overcast
2015-03-06,91,Overcast
2015-03-07,84,Cloudy
2015-03-08,53,"Partly Cloudy"
2015-03-09,100,"Light rain"
2015-03-10,83,Cloudy
2015-03-11,74,"Patchy light drizzle"
2015-03-12,88,Overcast
2015-03-13,100,"Light drizzle"
2015-03-14,5,Sunny
2015-03-15,89,Overcast
