date,cloud_cover,weather_desc,precip_mm,min_temp,max_temp
2013-04-01,4,Sunny,0.0,-3,6
2013-04-02,41,"Partly Cloudy",0.2,-2,7
2013-04-03,6,Sunny,0.0,-2,7
2013-04-04,8,Sunny,0.0,-1,7
2013-04-05,27,"Partly Cloudy",0.5,0,6
2013-04-06,21,Sunny,0.1,0,9
2013-04-07,43,"Partly Cloudy",0.1,0,7
2013-04-08,36,"Partly Cloudy",0.0,-1,6
2013-04-09,91,"Light sleet",1.0,1,6
2013-04-10,68,"Light rain shower",0.8,2,7
2013-04-11,77,Cloudy,0.2,0,7
2013-04-12,100,"Light drizzle",7.4,1,6
2013-04-13,85,Cloudy,0.9,8,11
2013-04-14,24,"Patchy rain nearby",3.0,8,13
2013-04-15,92,"Light rain shower",0.8,7,12
2013-04-16,50,"Partly Cloudy",3.2,4,11
2013-04-17,61,"Patchy light rain",8.7,6,10
2013-04-18,92,"Light rain shower",3.8,2,9
2013-04-19,3,Sunny,0.1,3,12
2013-04-20,79,Cloudy,0.0,4,12
2013-04-21,92,"Light rain",6.1,3,9
2013-04-22,87,"Light drizzle",1.2,6,11
2013-04-23,75,Cloudy,0.9,5,11
2013-04-24,77,Cloudy,6.2,4,11
2013-04-25,64,Cloudy,1.6,0,10
2013-04-26,38,"Patchy rain nearby",2.3,0,10
2013-04-27,31,"Partly Cloudy",0.7,3,10
2013-04-28,86,"Light rain shower",2.0,2,9
2013-04-29,52,"Light rain shower",0.8,1,10
2013-04-30,14,Sunny,0.2,5,12
2013-05-01,68,"Light rain shower",0.9,0,11
2013-05-02,45,"Partly Cloudy",0.0,6,13
2013-05-03,100,"Moderate rain",20.8,4,10
2013-05-04,59,"Partly Cloudy",0.3,5,11
2013-05-05,89,"Light drizzle",0.5,6,14
2013-05-06,74,Cloudy,0.6,5,15
2013-05-07,12,Sunny,2.3,5,18
2013-05-08,65,"Patchy light rain",3.6,4,12
2013-05-09,73,"Patchy light rain",7.9,5,10
2013-05-10,5,Sunny,0.8,3,13
2013-05-11,100,"Light rain",3.0,4,9
2013-05-12,96,Overcast,0.7,3,12
2013-05-13,80,"Light rain shower",1.6,3,9
2013-05-14,81,"Light rain shower",3.6,1,10
2013-05-15,47,"Patchy rain nearby",2.9,1,11
2013-05-16,18,"Patchy rain nearby",2.1,2,11
2013-05-17,15,Sunny,0.0,7,14
2013-05-18,100,"Moderate rain",15.4,8,12
2013-05-19,77,Cloudy,3.2,8,16
2013-05-20,85,"Light rain shower",6.4,7,19
2013-05-21,37,"Partly Cloudy",0.9,4,15
2013-05-22,16,Sunny,0.8,2,12
2013-05-23,52,"Light rain shower",2.4,2,9
2013-05-24,4,Sunny,0.6,1,12
2013-05-25,5,Sunny,0.0,3,15
2013-05-26,47,"Patchy rain nearby",1.3,6,15
2013-05-27,100,"Light rain",5.4,7,10
2013-05-28,78,"Light rain",4.6,4,14
2013-05-29,100,"Light drizzle",1.3,6,14
2013-05-30,69,Cloudy,0.3,7,17
2013-05-31,36,"Partly Cloudy",0.3,9,17
2013-06-01,29,"Partly Cloudy",0.5,3,14
2013-06-02,20,Sunny,0.1,5,16
2013-06-03,5,Sunny,0.1,7,20
2013-06-04,5,Sunny,0.0,4,17
2013-06-05,81,Cloudy,0.8,9,17
2013-06-06,67,"Light rain shower",2.5,8,18
2013-06-07,28,"Partly Cloudy",0.2,3,17
2013-06-08,6,Sunny,0.5,6,19
2013-06-09,68,Cloudy,0.2,5,16
2013-06-10,58,"Partly Cloudy",0.5,6,17
2013-06-11,48,"Patchy light drizzle",2.1,11,16
2013-06-12,82,"Light rain shower",6.1,7,17
2013-06-13,45,"Partly Cloudy",1.2,6,15
2013-06-14,55,"Light rain shower",2.6,8,15
2013-06-15,23,"Patchy rain nearby",8.1,6,15
2013-06-16,74,"Light rain shower",1.2,5,17
2013-06-17,18,Sunny,0.5,8,18
2013-06-18,71,Cloudy,0.4,7,19
2013-06-19,13,Sunny,0.0,8,17
2013-06-20,15,Sunny,1.3,10,20
2013-06-21,57,"Light rain shower",1.4,10,19
2013-06-22,76,"Light rain shower",5.6,8,14
2013-06-23,75,"Light rain shower",5.8,7,16
2013-06-24,84,"Light rain shower",1.3,4,15
2013-06-25,50,"Partly Cloudy",0.1,7,17
2013-06-26,28,"Partly Cloudy",0.2,6,18
2013-06-27,100,"Moderate rain",3.6,11,16
2013-06-28,97,"Light rain",4.7,8,16
2013-06-29,91,"Light rain",2.7,11,13
2013-06-30,86,"Light drizzle",1.7,11,16
2013-07-01,62,"Light rain shower",0.8,7,15
2013-07-02,95,"Light rain",9.7,10,12
2013-07-03,70,Cloudy,0.6,11,18
2013-07-04,49,"Patchy rain nearby",2.4,7,16
2013-07-05,63,Cloudy,0.0,8,19
2013-07-06,18,Sunny,0.0,11,21
2013-07-07,27,"Partly Cloudy",0.2,10,23
2013-07-08,8,Sunny,0.2,14,25
2013-07-09,20,Sunny,0.0,12,25
2013-07-10,72,Cloudy,0.2,9,21
2013-07-11,12,Sunny,0.0,14,24
2013-07-12,32,"Partly Cloudy",0.1,12,24
2013-07-13,14,Sunny,0.6,8,23
2013-07-14,5,Sunny,0.0,8,20
2013-07-15,22,Sunny,0.0,11,20
2013-07-16,40,"Patchy rain nearby",0.6,11,20
2013-07-17,19,Sunny,0.0,12,22
2013-07-18,39,"Partly Cloudy",0.2,13,24
2013-07-19,2,Sunny,0.0,12,24
2013-07-20,8,Sunny,0.0,11,22
2013-07-21,8,Sunny,0.4,12,21
2013-07-22,21,Sunny,0.4,12,22
2013-07-23,99,"Moderate or heavy rain shower",9.9,12,20
2013-07-24,39,"Partly Cloudy",9.2,11,22
2013-07-25,42,"Light rain shower",16.3,11,20
2013-07-26,21,"Patchy rain nearby",4.3,10,20
2013-07-27,13,Sunny,1.7,13,21
2013-07-28,100,"Light rain",19.5,10,18
2013-07-29,83,"Light rain shower",6.3,11,20
2013-07-30,58,"Light rain shower",3.3,9,19
2013-07-31,14,Sunny,0.0,14,19
2013-08-01,95,"Moderate rain",17.4,13,21
2013-08-02,74,Cloudy,1.4,13,20
2013-08-03,93,"Light rain shower",0.8,10,18
2013-08-04,24,Sunny,0.7,11,19
2013-08-05,100,"Heavy rain",20.9,7,16
2013-08-06,26,"Partly Cloudy",0.9,7,19
2013-08-07,54,"Partly Cloudy",1.6,8,20
2013-08-08,40,"Partly Cloudy",1.5,11,18
2013-08-09,24,Sunny,0.4,8,19
2013-08-10,44,"Patchy rain nearby",0.6,9,16
2013-08-11,54,"Light rain shower",1.2,9,16
2013-08-12,39,"Patchy rain nearby",3.4,7,17
2013-08-13,11,Sunny,0.1,7,18
2013-08-14,80,Cloudy,2.3,13,18
2013-08-15,43,"Patchy rain nearby",10.5,11,20
2013-08-16,79,Cloudy,0.8,10,20
2013-08-17,70,"Patchy light rain",4.2,9,19
2013-08-18,49,"Patchy rain nearby",0.5,8,18
2013-08-19,66,"Light rain shower",0.4,8,18
2013-08-20,57,"Partly Cloudy",0.8,12,19
2013-08-21,57,"Light rain shower",6.0,10,20
2013-08-22,93,"Light rain shower",1.6,10,20
2013-08-23,34,"Partly Cloudy",1.1,12,22
2013-08-24,68,"Light rain shower",2.2,9,22
2013-08-25,73,Cloudy,0.3,12,22
2013-08-26,76,Cloudy,0.2,10,23
2013-08-27,69,"Patchy light drizzle",1.6,13,21
2013-08-28,100,"Light drizzle",1.6,9,19
2013-08-29,60,"Light rain shower",0.7,11,18
2013-08-30,88,"Light rain shower",1.0,6,19
2013-08-31,31,"Patchy rain nearby",0.4,10,15
2013-09-01,85,"Light rain shower",0.4,13,16
2013-09-02,67,Cloudy,0.6,14,21
2013-09-03,70,Cloudy,0.2,11,20
2013-09-04,16,Sunny,0.0,10,21
2013-09-05,44,"Partly Cloudy",0.2,7,18
2013-09-06,51,"Patchy light rain",6.6,8,12
2013-09-07,12,Sunny,9.4,6,16
2013-09-08,88,Overcast,0.7,4,15
2013-09-09,17,Sunny,1.1,5,17
2013-09-10,25,"Partly Cloudy",0.0,8,17
2013-09-11,100,"Light drizzle",1.7,11,15
2013-09-12,62,"Partly Cloudy",3.4,10,18
2013-09-13,66,"Patchy light drizzle",2.0,4,14
2013-09-14,11,Sunny,0.1,7,16
2013-09-15,94,"Light rain",4.6,4,14
2013-09-16,100,"Light rain shower",1.3,6,12
2013-09-17,100,"Light rain shower",1.1,4,13
2013-09-18,68,"Light rain shower",0.7,5,14
2013-09-19,85,"Light drizzle",3.6,5,14
2013-09-20,68,Cloudy,0.3,9,15
2013-09-21,91,"Light drizzle",0.4,13,17
2013-09-22,10,Sunny,0.0,11,19
2013-09-23,44,"Partly Cloudy",0.0,9,21
2013-09-24,74,"Patchy light drizzle",0.9,11,17
2013-09-25,98,"Light drizzle",2.8,6,14
2013-09-26,49,"Partly Cloudy",0.1,9,15
2013-09-27,43,"Partly Cloudy",0.8,8,18
2013-09-28,32,"Partly Cloudy",0.0,9,19
2013-09-29,38,"Partly Cloudy",0.0,9,15
2013-09-30,55,"Partly Cloudy",0.0,10,15
2013-10-01,47,"Partly Cloudy",0.0,10,15
2013-10-02,94,"Light rain shower",6.6,12,17
2013-10-03,61,"Patchy light drizzle",16.7,14,20
2013-10-04,69,Cloudy,2.8,11,18
2013-10-05,47,"Partly Cloudy",0.4,12,16
2013-10-06,92,Overcast,0.5,14,17
2013-10-07,100,"Light drizzle",0.7,14,17
2013-10-08,80,"Light rain shower",0.7,9,15
2013-10-09,12,Sunny,1.0,4,10
2013-10-10,84,Cloudy,0.0,4,12
2013-10-11,95,Overcast,0.2,6,11
2013-10-12,90,Overcast,0.5,8,13
2013-10-13,83,"Light drizzle",1.2,8,12
2013-10-14,51,"Light rain shower",0.8,6,13
2013-10-15,74,Cloudy,0.2,5,13
2013-10-16,100,Overcast,4.0,7,12
2013-10-17,94,Overcast,4.9,7,13
2013-10-18,94,Overcast,1.4,10,12
2013-10-19,82,Cloudy,13.4,10,16
2013-10-20,100,"Light rain shower",3.1,9,14
2013-10-21,91,"Light drizzle",5.4,11,13
2013-10-22,91,Overcast,6.7,10,16
2013-10-23,41,"Partly Cloudy",1.1,7,12
2013-10-24,17,Sunny,0.0,6,13
2013-10-25,90,"Moderate rain",10.9,10,14
2013-10-26,72,Cloudy,1.6,7,13
2013-10-27,38,"Partly Cloudy",0.2,8,13
2013-10-28,57,"Partly Cloudy",0.1,5,12
2013-10-29,70,Cloudy,0.1,3,11
2013-10-30,67,Cloudy,3.1,5,11
2013-10-31,87,"Light drizzle",0.6,7,11
2013-11-01,36,"Partly Cloudy",0.0,3,10
2013-11-02,90,"Light rain",7.7,2,8
2013-11-03,7,Sunny,1.8,1,8
2013-11-04,10,Sunny,0.0,0,8
2013-11-05,89,"Light drizzle",1.6,2,7
2013-11-06,76,"Light drizzle",1.2,3,8
2013-11-07,36,"Partly Cloudy",0.0,4,8
2013-11-08,37,"Partly Cloudy",0.0,1,9
2013-11-09,50,"Partly Cloudy",0.0,0,7
2013-11-10,3,Sunny,0.0,2,7
2013-11-11,55,"Patchy light drizzle",5.0,5,12
2013-11-12,7,Sunny,0.0,4,9
2013-11-13,74,Cloudy,0.7,6,9
2013-11-14,38,"Partly Cloudy",0.2,3,8
2013-11-15,73,Cloudy,0.3,7,10
2013-11-16,52,"Partly Cloudy",0.5,4,11
2013-11-17,6,Sunny,2.0,4,7
2013-11-18,5,Sunny,1.4,0,7
2013-11-19,6,Sunny,1.3,1,3
2013-11-20,33,"Partly Cloudy",5.8,0,6
2013-11-21,49,"Partly Cloudy",0.6,-1,3
2013-11-22,13,Sunny,0.0,0,4
2013-11-23,16,Sunny,0.0,0,5
2013-11-24,44,"Partly Cloudy",0.0,-1,4
2013-11-25,15,Sunny,0.0,0,4
2013-11-26,83,"Light rain",2.2,6,7
2013-11-27,41,"Partly Cloudy",0.0,4,11
2013-11-28,58,"Partly Cloudy",0.0,3,6
2013-11-29,28,"Partly Cloudy",0.9,2,7
2013-11-30,45,"Partly Cloudy",0.1,5,6
2013-12-01,60,"Partly Cloudy",0.0,3,9
2013-12-02,82,Cloudy,0.1,5,8
