date,cloud_cover,weather_desc,precip_mm,min_temp,max_temp
2013-12-03,85,Cloudy,1.9,2,9
2013-12-04,9,Sunny,0.0,4,6
2013-12-05,20,"Patchy sleet nearby",8.5,-1,6
2013-12-06,32,"Partly Cloudy",0.1,0,2
2013-12-07,64,Cloudy,0.7,5,5
2013-12-08,90,"Light drizzle",5.4,8,11
2013-12-09,48,"Partly Cloudy",2.8,7,11
2013-12-10,69,Cloudy,0.1,8,11
2013-12-11,30,"Partly Cloudy",0.0,4,10
2013-12-12,67,Cloudy,2.2,11,11
2013-12-13,79,"Light drizzle",3.6,5,11
2013-12-14,65,Cloudy,2.8,5,9
2013-12-15,49,"Partly Cloudy",4.9,7,10
2013-12-16,23,Sunny,4.7,2,6
2013-12-17,25,Sunny,0.0,3,5
2013-12-18,80,"Light drizzle",4.0,3,9
2013-12-19,38,"Partly Cloudy",0.4,2,6
2013-12-20,49,"Partly Cloudy",6.8,7,8
2013-12-21,59,"Partly Cloudy",2.1,2,8
2013-12-22,18,Sunny,0.3,2,4
2013-12-23,100,"Moderate rain",5.9,5,7
2013-12-24,62,"Patchy light drizzle",5.0,1,5
2013-12-25,23,Sunny,2.1,2,5
2013-12-26,63,"Partly Cloudy",0.0,3,4
2013-12-27,87,"Light rain",11.0,3,8
2013-12-28,47,"Partly Cloudy",3.9,2,6
2013-12-29,10,Sunny,0.5,4,7
2013-12-30,53,"Patchy light rain",10.3,2,8
2013-12-31,89,"Light rain",1.8,3,6
2013-01-01,14,Sunny,0.2,3,5
2013-01-02,78,"Light drizzle",3.9,7,8
2013-01-03,70,Cloudy,2.1,7,10
2013-01-04,38,"Partly Cloudy",0.1,6,10
2013-01-05,72,Cloudy,1.7,5,9
2013-01-06,51,"Partly Cloudy",0.6,6,9
2013-01-07,90,"Light drizzle",6.3,8,9
2013-01-08,83,"Light rain",5.8,1,10
2013-01-09,21,Sunny,0.0,2,5
2013-01-10,77,Cloudy,0.6,1,5
2013-01-11,82,"Light drizzle",0.5,0,4
2013-01-12,86,Cloudy,0.0,-1,3
2013-01-13,100,"Light snow",1.2,-1,3
2013-01-14,9,Sunny,2.7,-2,2
2013-01-15,73,Cloudy,0.0,-3,2
2013-01-16,51,"Partly Cloudy",0.0,-5,1
2013-01-17,13,Sunny,0.0,-4,-1
2013-01-18,19,Sunny,0.5,-1,2
2013-01-19,93,Overcast,0.4,-1,2
2013-01-20,92,Overcast,0.6,1,2
2013-01-21,100,"Blowing snow",6.7,0,2
2013-01-22,95,"Light snow",4.3,-3,2
2013-01-23,60,"Partly Cloudy",0.0,-4,1
2013-01-24,19,Sunny,0.1,-4,-1
2013-01-25,76,"Light freezing rain",8.0,-1,2
2013-01-26,9,Sunny,4.4,1,2
2013-01-27,20,Sunny,5.0,1,4
2013-01-28,100,Overcast,3.8,3,6
2013-01-29,49,"Partly Cloudy",3.4,4,8
2013-01-30,73,"Patchy light drizzle",1.4,2,7
2013-01-31,48,"Patchy light drizzle",7.0,3,5
2013-02-01,96,"Light drizzle",0.8,-1,4
2013-02-02,7,Sunny,0.0,2,4
2013-02-03,64,Cloudy,2.3,5,7
2013-02-04,33,"Patchy sleet nearby",3.2,0,4
2013-02-05,52,"Patchy light rain",1.1,1,5
2013-02-06,44,"Partly Cloudy",1.3,-1,5
2013-02-07,47,"Partly Cloudy",0.7,1,4
2013-02-08,46,"Partly Cloudy",0.7,1,5
2013-02-09,48,"Partly Cloudy",0.8,2,5
2013-02-10,85,"Light snow",4.6,1,4
2013-02-11,62,"Partly Cloudy",0.8,-1,3
2013-02-12,66,Cloudy,0.0,-2,3
2013-02-13,100,"Moderate or heavy sleet",17.2,1,3
2013-02-14,27,"Partly Cloudy",0.5,2,7
2013-02-15,13,Sunny,0.0,1,8
2013-02-16,75,Cloudy,0.2,2,9
2013-02-17,4,Sunny,0.0,0,9
2013-02-18,10,Sunny,0.0,0,8
2013-02-19,8,Sunny,0.0,1,8
2013-02-20,96,Overcast,0.2,-2,5
2013-02-21,32,"Partly Cloudy",0.0,-2,4
2013-02-22,29,"Partly Cloudy",0.0,-3,3
2013-02-23,71,Cloudy,0.1,-2,4
2013-02-24,64,"Light sleet showers",0.6,-1,5
2013-02-25,68,Cloudy,0.0,0,5
2013-02-26,34,Sunny,0.0,1,8
2013-02-27,0,Sunny,0.0,2,11
2013-02-28,3,Sunny,0.0,1,11
2013-03-01,24,Sunny,0.0,0,7
2013-03-02,22,Sunny,0.0,0,10
2013-03-03,64,Cloudy,0.1,0,8
2013-03-04,5,Sunny,0.0,0,9
2013-03-05,5,Sunny,0.0,0,10
2013-03-06,87,Cloudy,1.1,4,6
2013-03-07,100,"Light rain",4.1,4,7
2013-03-08,100,"Light drizzle",2.9,1,5
2013-03-09,100,"Light sleet",3.6,0,4
2013-03-10,92,"Light snow showers",0.8,-3,3
2013-03-11,77,"Light snow showers",0.9,-3,2
2013-03-12,26,"Partly Cloudy",0.1,-2,6
2013-03-13,14,Sunny,0.2,-4,5
2013-03-14,48,"Partly Cloudy",0.0,1,5
2013-03-15,100,"Light drizzle",1.6,-2,7
2013-03-16,98,"Light drizzle",1.0,-3,6
2013-03-17,80,"Light rain shower",3.4,1,6
2013-03-18,100,"Light snow showers",7.0,1,4
2013-03-19,100,"Heavy snow",17.0,0,2
2013-03-20,96,"Light snow",3.1,-2,3
2013-03-21,46,"Partly Cloudy",0.2,0,4
2013-03-22,84,"Light snow",1.1,-1,3
2013-03-23,100,"Light snow showers",3.2,-1,1
2013-03-24,100,"Light snow showers",0.6,-1,2
2013-03-25,78,"Light snow showers",0.7,-2,3
2013-03-26,94,"Light snow showers",0.9,0,3
2013-03-27,100,"Light snow showers",1.1,-2,4
2013-03-28,74,Cloudy,0.3,-3,4
2013-03-29,75,Cloudy,0.3,-3,4
2013-03-30,47,"Partly Cloudy",0.2,-3,5
2013-03-31,42,Sunny,0.2,-1,5
