date,cloud_cover,weather_desc
2015-10-30,6,Sunny
2015-10-31,60,"Partly Cloudy"
2015-11-01,64,Cloudy
2015-11-02,90,"Light rain shower"
2015-11-03,67,Cloudy
2015-11-04,100,"Light drizzle"
2015-11-05,40,"Partly Cloudy"
2015-11-06,10,Sunny
2015-11-07,4,Sunny
2015-11-08,0,Sunny
2015-11-09,0,Sunny
2015-11-10,0,Sunny
2015-11-11,0,Sunny
2015-11-12,0,Sunny
2015-11-13,0,Sunny
2015-11-14,0,Sunny
2015-11-15,0,Sunny
2015-11-16,4,Sunny
2015-11-17,3,Sunny
2015-11-18,36,"Partly Cloudy"
2015-11-19,6,Sunny
2015-11-20,100,Overcast
2015-11-21,15,Sunny
2015-11-22,78,Cloudy
2015-11-23,2,Sunny
2015-11-24,27,"Partly Cloudy"
2015-11-25,32,"Partly Cloudy"
2015-11-26,3,Sunny
2015-11-27,13,Sunny
2015-11-28,45,"Partly Cloudy"
2015-11-29,3,Sunny
2015-11-30,0,Sunny
2015-12-01,25,"Partly Cloudy"
2015-12-02,7,Sunny
2015-12-03,4,Sunny
2015-12-04,19,Sunny
2015-12-05,15,Sunny
2015-12-06,5,Sunny
2015-12-07,100,Overcast
2015-12-08,47,"Partly Cloudy"
2015-12-09,7,Sunny
2015-12-10,39,"Partly Cloudy"
2015-12-11,20,Sunny
2015-12-12,63,Cloudy
2015-12-13,33,"Partly Cloudy"
2015-12-14,82,"Light drizzle"
2015-12-15,50,"Partly Cloudy"
2015-12-16,1,Sunny
2015-12-17,24,Sunny
2015-12-18,19,Sunny
2015-12-19,6,Sunny
2015-12-20,8,Sunny
2015-12-21,0,Sunny
2015-12-22,3,Sunny
2015-12-23,100,Overcast
2015-12-24,0,Sunny
2015-12-25,5,Sunny
2015-12-26,100,Overcast
2015-12-27,99,Overcast
2015-12-28,75,"Patchy rain nearby"
2015-12-29,3,Sunny
2015-12-30,6,Sunny
2015-12-31,100,Overcast
2015-01-01,0,Sunny
2015-01-02,22,Sunny
2015-01-03,6,Sunny
2015-01-04,6,Sunny
2015-01-05,6,Sunny
2015-01-06,7,Sunny
2015-01-07,0,Sunny
2015-01-08,0,Sunny
2015-01-09,1,Sunny
2015-01-10,0,Sunny
2015-01-11,6,Sunny
2015-01-12,2,Sunny
2015-01-13,4,Sunny
2015-01-14,0,Sunny
2015-01-15,55,"Partly Cloudy"
2015-01-16,10,Sunny
2015-01-17,7,Sunny
2015-01-18,100,"Light snow"
2015-01-19,0,Sunny
2015-01-20,82,Cloudy
2015-01-21,74,Cloudy
2015-01-22,10,Sunny
2015-01-23,3,Sunny
2015-01-24,9,Sunny
2015-01-25,7,Sunny
2015-01-26,4,Sunny
2015-01-27,7,Sunny
2015-01-28,5,Sunny
2015-01-29,45,"Partly Cloudy"
2015-01-30,27,"Partly Cloudy"
2015-01-31,7,Sunny
2015-02-01,14,Sunny
2015-02-02,100,"Light sleet"
2015-02-03,94,Overcast
2015-02-04,20,Sunny
2015-02-05,15,Sunny
2015-02-06,23,Sunny
2015-02-07,59,"Partly Cloudy"
2015-02-08,2,Sunny
2015-02-09,0,Sunny
2015-02-10,100,Overcast
2015-02-11,95,"Patchy rain nearby"
2015-02-12,75,Cloudy
2015-02-13,11,Sunny
2015-02-14,85,Cloudy
2015-02-15,30,"Partly Cloudy"
2015-02-16,24,Sunny
2015-02-17,28,"Partly Cloudy"
2015-02-18,78,Cloudy
2015-02-19,10,Sunny
2015-02-20,23,Sunny
2015-02-21,9,Sunny
2015-02-22,29,"Partly Cloudy"
2015-02-23,45,"Partly Cloudy"
2015-02-24,22,Sunny
2015-02-25,12,Sunny
2015-02-26,100,Overcast
2015-02-27,29,"Partly Cloudy"
2015-02-28,23,Sunny
2015-03-01,27,"Partly Cloudy"
2015-03-02,45,"Partly Cloudy"
2015-03-03,6,Sunny
2015-03-04,19,Sunny
2015-03-05,8,Sunny
2015-03-06,0,Sunny
2015-03-07,0,Sunny
2015-03-08,19,Sunny
2015-03-09,30,"Partly Cloudy"
2015-03-10,0,Sunny
2015-03-11,1,Sunny
2015-03-12,0,Sunny
2015-03-13,8,Sunny
2015-03-14,7,Sunny
2015-03-15,32,"Partly Cloudy"
2015-03-16,12,Sunny
2015-03-17,45,"Partly Cloudy"
2015-03-18,100,"Light rain"
2015-03-19,71,"Moderate or heavy rain in area with thunder"
2015-03-20,81,"Light rain"
2015-03-21,100,"Light drizzle"
2015-03-22,49,"Partly Cloudy"
2015-03-23,100,"Light rain shower"
2015-03-24,95,"Light rain"
2015-03-25,67,Cloudy
2015-03-26,47,"Partly Cloudy"
2015-03-27,30,"Partly Cloudy"
2015-03-28,7,Sunny
2015-03-29,9,Sunny
2015-03-30,0,Sunny
2015-03-31,0,Sunny
