date,cloud_cover,weather_desc,precip_mm,min_temp,max_temp
2012-04-01,46,"Partly Cloudy",0.0,3,12
2012-04-02,100,"Light rain",4.2,4,7
2012-04-03,68,"Light snow",10.1,-1,3
2012-04-04,96,"Light sleet showers",0.6,-1,6
2012-04-05,47,"Partly Cloudy",0.1,4,10
2012-04-06,77,Cloudy,1.1,5,11
2012-04-07,89,Overcast,0.5,7,9
2012-04-08,94,Overcast,1.1,6,12
2012-04-09,98,"Light rain",7.2,2,9
2012-04-10,42,"Patchy rain nearby",12.9,1,9
2012-04-11,20,Sunny,2.1,3,11
2012-04-12,9,Sunny,0.7,0,10
2012-04-13,7,Sunny,0.5,0,8
2012-04-14,13,Sunny,0.9,-2,7
2012-04-15,44,"Partly Cloudy",0.6,-2,8
2012-04-16,32,"Partly Cloudy",1.7,3,9
2012-04-17,52,"Light rain shower",10.4,0,9
2012-04-18,58,"Partly Cloudy",3.9,4,9
2012-04-19,47,"Patchy rain nearby",2.8,2,10
2012-04-20,76,"Light rain shower",2.5,4,11
2012-04-21,45,"Light rain shower",5.8,2,11
2012-04-22,57,"Light rain shower",1.6,3,10
2012-04-23,69,"Light rain shower",1.9,2,10
2012-04-24,54,"Light rain shower",1.4,4,10
2012-04-25,100,"Light rain shower",3.8,3,8
2012-04-26,100,"Moderate rain",16.7,2,7
2012-04-27,28,"Partly Cloudy",1.1,0,9
2012-04-28,0,Sunny,0.0,0,8
2012-04-29,9,Sunny,4.1,3,8
2012-04-30,85,Cloudy,3.7,8,10
2012-05-01,25,Sunny,0.4,4,11
2012-05-02,7,Sunny,0.4,0,13
2012-05-03,18,Sunny,0.0,4,15
2012-05-04,72,Cloudy,1.5,-2,8
2012-05-05,64,Cloudy,0.2,1,9
2012-05-06,61,"Light rain shower",3.0,-3,9
2012-05-07,95,"Light rain shower",6.8,4,9
2012-05-08,75,"Light rain shower",1.5,0,11
2012-05-09,91,Overcast,0.3,4,11
2012-05-10,100,"Light rain",17.0,1,5
2012-05-11,64,"Patchy light rain",7.8,-1,8
2012-05-12,10,Sunny,0.4,4,12
2012-05-13,86,"Light rain shower",1.3,3,9
2012-05-14,69,"Light rain shower",1.9,1,11
2012-05-15,57,"Light rain shower",3.1,-2,9
2012-05-16,43,"Patchy rain nearby",0.8,5,10
2012-05-17,100,"Light rain",6.1,4,10
2012-05-18,100,"Light drizzle",4.8,2,7
2012-05-19,50,"Partly Cloudy",0.4,0,10
2012-05-20,39,"Partly Cloudy",0.2,4,13
2012-05-21,12,Sunny,0.0,6,15
2012-05-22,20,Sunny,0.0,7,19
2012-05-23,25,Sunny,2.4,9,20
2012-05-24,45,"Patchy light drizzle",0.9,9,20
2012-05-25,6,Sunny,0.1,8,18
2012-05-26,0,Sunny,0.0,6,18
2012-05-27,3,Sunny,0.0,9,20
2012-05-28,2,Sunny,0.1,9,20
2012-05-29,86,Cloudy,1.0,9,16
2012-05-30,100,"Light drizzle",2.6,8,14
2012-05-31,100,"Moderate rain",9.1,10,12
2012-06-01,62,"Partly Cloudy",0.7,7,13
2012-06-02,24,Sunny,0.4,3,11
2012-06-03,48,"Patchy rain nearby",0.6,2,11
2012-06-04,31,"Patchy rain nearby",1.4,3,13
2012-06-05,55,"Partly Cloudy",1.4,7,15
2012-06-06,80,"Light drizzle",17.1,6,16
2012-06-07,68,"Light rain shower",3.5,11,16
2012-06-08,100,"Light rain shower",9.2,10,13
2012-06-09,40,"Patchy rain nearby",4.3,10,17
2012-06-10,100,"Light rain shower",2.8,7,14
2012-06-11,73,"Light rain shower",0.7,3,13
2012-06-12,24,"Patchy rain nearby",1.4,5,14
2012-06-13,42,"Patchy rain nearby",0.6,6,13
2012-06-14,68,Cloudy,0.1,7,13
2012-06-15,100,"Light rain",11.8,9,10
2012-06-16,100,"Light rain",24.6,7,11
2012-06-17,82,"Light rain shower",3.3,4,14
2012-06-18,5,Sunny,1.8,6,15
2012-06-19,74,"Light rain shower",1.6,5,14
2012-06-20,28,"Partly Cloudy",1.4,8,16
2012-06-21,48,"Patchy light drizzle",7.2,10,12
2012-06-22,100,"Moderate rain",25.9,9,14
2012-06-23,100,"Light drizzle",1.9,8,13
2012-06-24,56,"Light rain shower",7.0,7,16
2012-06-25,57,"Light rain shower",3.1,8,18
2012-06-26,65,"Patchy light drizzle",1.7,12,15
2012-06-27,91,"Light drizzle",3.6,13,19
2012-06-28,100,"Light rain",26.0,11,17
2012-06-29,75,"Patchy light drizzle",2.6,12,16
2012-06-30,70,"Patchy light drizzle",1.3,10,14
2012-07-01,46,"Patchy rain nearby",1.7,9,16
2012-07-02,100,"Light drizzle",17.0,12,18
2012-07-03,74,"Light rain shower",7.6,13,19
2012-07-04,94,"Light rain shower",24.4,13,20
2012-07-05,90,"Light drizzle",3.0,13,18
2012-07-06,94,"Light drizzle",4.8,11,17
2012-07-07,98,"Light drizzle",16.1,11,14
2012-07-08,88,"Light rain shower",2.7,11,17
2012-07-09,98,"Light rain",12.3,8,14
2012-07-10,100,"Light rain shower",5.0,8,16
2012-07-11,100,"Light rain",6.5,6,14
2012-07-12,81,"Light rain shower",0.9,9,16
2012-07-13,96,"Light rain shower",1.3,5,14
2012-07-14,44,"Partly Cloudy",2.8,5,16
2012-07-15,83,"Light rain shower",1.3,7,14
2012-07-16,87,"Light rain shower",1.1,7,16
2012-07-17,67,Cloudy,0.3,11,16
2012-07-18,100,"Light rain shower",17.6,8,16
2012-07-19,36,"Patchy rain nearby",2.7,5,15
2012-07-20,29,"Partly Cloudy",0.7,6,17
2012-07-21,59,"Partly Cloudy",0.4,11,16
2012-07-22,95,Overcast,1.3,12,18
2012-07-23,81,"Light rain",15.5,9,16
2012-07-24,100,"Light drizzle",1.7,11,18
2012-07-25,11,Sunny,0.6,9,20
2012-07-26,92,"Light drizzle",1.2,8,18
2012-07-27,69,Cloudy,0.7,9,15
2012-07-28,40,"Patchy rain nearby",1.3,8,15
2012-07-29,60,"Light rain shower",2.7,7,16
2012-07-30,100,"Light rain shower",2.4,5,15
2012-07-31,14,Sunny,1.2,13,16
2012-08-01,96,"Moderate or heavy rain in area with thunder",19.1,12,18
2012-08-02,29,"Partly Cloudy",1.0,8,18
2012-08-03,27,"Partly Cloudy",1.4,10,18
2012-08-04,58,"Light rain shower",2.2,9,18
2012-08-05,64,"Light rain shower",1.5,10,17
2012-08-06,78,"Light rain shower",5.6,10,18
2012-08-07,66,Cloudy,1.4,6,18
2012-08-08,30,"Patchy rain nearby",0.5,9,19
2012-08-09,33,"Partly Cloudy",0.0,8,20
2012-08-10,79,"Light rain shower",0.3,8,18
2012-08-11,49,"Partly Cloudy",0.0,13,18
2012-08-12,79,Cloudy,1.4,12,17
2012-08-13,94,"Light rain shower",12.9,12,20
2012-08-14,48,"Light rain shower",6.2,12,20
2012-08-15,55,"Partly Cloudy",13.5,12,19
2012-08-16,68,Cloudy,0.4,12,18
2012-08-17,94,"Light rain",10.1,15,19
2012-08-18,73,"Light rain shower",2.0,11,19
2012-08-19,10,Sunny,0.1,10,20
2012-08-20,68,"Light rain shower",0.7,12,18
2012-08-21,50,"Patchy rain nearby",6.0,11,18
2012-08-22,99,"Light rain shower",0.8,10,17
2012-08-23,83,"Light rain shower",0.9,10,16
2012-08-24,57,"Partly Cloudy",6.8,10,18
2012-08-25,98,"Light rain shower",2.1,7,16
2012-08-26,21,Sunny,0.1,8,17
2012-08-27,70,"Moderate rain at times",20.7,11,14
2012-08-28,29,"Patchy rain nearby",1.1,9,16
2012-08-29,89,"Light rain shower",6.9,8,16
2012-08-30,22,Sunny,0.2,3,13
2012-08-31,42,"Patchy light drizzle",1.7,11,13
2012-09-01,94,Overcast,2.1,12,16
2012-09-02,40,"Partly Cloudy",0.5,12,17
2012-09-03,10,Sunny,0.2,14,20
2012-09-04,48,"Partly Cloudy",0.6,8,16
2012-09-05,41,"Partly Cloudy",0.3,6,16
2012-09-06,28,"Partly Cloudy",1.5,14,16
2012-09-07,96,"Light drizzle",2.4,13,18
2012-09-08,55,"Light rain shower",0.5,8,18
2012-09-09,16,Sunny,0.6,14,19
2012-09-10,100,Overcast,4.8,5,15
2012-09-11,63,Cloudy,0.5,5,12
2012-09-12,9,Sunny,0.9,4,13
2012-09-13,80,"Light drizzle",0.9,11,16
2012-09-14,76,Cloudy,0.6,9,13
2012-09-15,11,Sunny,0.0,10,15
2012-09-16,90,"Light rain shower",0.8,7,15
2012-09-17,53,"Light rain shower",1.8,6,14
2012-09-18,11,Sunny,0.3,3,12
2012-09-19,11,Sunny,0.1,6,13
2012-09-20,100,"Moderate rain",11.1,4,10
2012-09-21,74,Cloudy,0.0,1,12
2012-09-22,43,"Partly Cloudy",0.0,4,13
2012-09-23,21,Sunny,0.0,7,13
2012-09-24,100,"Light rain",8.4,9,10
2012-09-25,81,"Light rain shower",13.5,9,12
2012-09-26,55,"Partly Cloudy",0.8,7,14
2012-09-27,6,Sunny,0.9,9,13
2012-09-28,87,"Light rain shower",1.7,7,12
2012-09-29,100,"Light rain shower",0.4,9,12
2012-09-30,62,"Light rain shower",6.6,9,15
2012-10-01,39,"Patchy rain nearby",1.4,7,13
2012-10-02,62,"Light rain shower",4.4,5,12
2012-10-03,44,"Partly Cloudy",3.0,3,12
2012-10-04,32,"Partly Cloudy",0.0,5,12
2012-10-05,47,"Partly Cloudy",0.8,4,11
2012-10-06,29,"Partly Cloudy",0.1,3,12
2012-10-07,5,Sunny,0.0,3,12
2012-10-08,0,Sunny,0.0,3,14
2012-10-09,8,Sunny,0.0,1,11
2012-10-10,16,Sunny,0.0,4,12
2012-10-11,74,"Patchy light drizzle",14.1,7,12
2012-10-12,78,"Light drizzle",31.1,4,10
2012-10-13,100,"Light rain",7.1,4,7
2012-10-14,65,"Light rain shower",1.5,3,10
2012-10-15,7,Sunny,0.0,2,9
2012-10-16,67,"Patchy light rain",2.9,1,8
2012-10-17,100,"Moderate rain",9.4,4,9
2012-10-18,100,Overcast,2.0,8,10
2012-10-19,90,"Light drizzle",4.0,6,10
2012-10-20,47,"Partly Cloudy",0.7,5,11
2012-10-21,7,Sunny,0.0,4,13
2012-10-22,90,Overcast,0.5,7,11
2012-10-23,100,Overcast,0.5,7,12
2012-10-24,62,"Partly Cloudy",0.3,4,11
2012-10-25,69,Cloudy,0.0,1,9
2012-10-26,2,Sunny,0.0,-1,5
2012-10-27,41,"Partly Cloudy",1.6,4,7
2012-10-28,98,"Light drizzle",5.4,3,9
2012-10-29,50,"Partly Cloudy",0.6,3,7
2012-10-30,88,"Light drizzle",1.6,4,9
2012-10-31,96,"Light rain",6.7,6,9
2012-11-01,90,Mist,0.0,0,5
2012-11-02,1,Sunny,0.5,0,7
2012-11-03,45,"Patchy light drizzle",0.9,0,6
2012-11-04,5,Sunny,0.0,0,6
2012-11-05,13,Sunny,0.0,1,6
2012-11-06,55,"Patchy light rain",2.2,7,10
2012-11-07,85,"Light drizzle",0.5,6,10
2012-11-08,68,Cloudy,0.5,7,10
2012-11-09,39,"Patchy light drizzle",2.7,3,10
2012-11-10,62,"Thundery outbreaks in nearby",0.2,2,8
2012-11-11,3,Sunny,0.0,1,6
2012-11-12,88,"Light rain",3.4,9,10
2012-11-13,93,"Light drizzle",5.7,9,12
2012-11-14,100,"Light drizzle",5.7,5,10
2012-11-15,72,Cloudy,0.5,5,10
2012-11-16,45,"Partly Cloudy",0.1,4,9
2012-11-17,14,Sunny,1.4,2,6
2012-11-18,30,"Partly Cloudy",0.2,4,6
2012-11-19,66,"Patchy light drizzle",5.4,8,10
2012-11-20,80,"Moderate or heavy rain in area with thunder",2.3,5,12
2012-11-21,5,Sunny,0.0,6,9
2012-11-22,68,"Patchy light rain",5.1,2,8
2012-11-23,23,Sunny,0.0,0,6
2012-11-24,35,"Partly Cloudy",0.0,2,5
2012-11-25,82,"Light drizzle",7.6,1,4
2012-11-26,100,"Moderate rain",12.9,2,4
2012-11-27,48,"Partly Cloudy",0.6,-1,6
2012-11-28,12,Sunny,0.0,-1,4
2012-11-29,24,Sunny,0.0,-2,3
2012-11-30,59,"Partly Cloudy",0.0,-1,2
2012-12-01,6,Sunny,1.5,-2,1
2012-12-02,9,Sunny,0.0,0,3
2012-12-03,41,"Partly Cloudy",2.7,-2,2
2012-12-04,6,Sunny,0.5,-3,2
2012-12-05,5,Sunny,0.0,-4,1
2012-12-06,100,"Light rain",5.8,0,3
2012-12-07,78,Cloudy,3.2,-2,2
2012-12-08,87,Cloudy,0.5,1,5
2012-12-09,3,Sunny,0.5,-1,5
2012-12-10,4,Sunny,0.0,-1,3
2012-12-11,3,Sunny,0.0,-3,3
2012-12-12,3,Sunny,0.0,-3,2
2012-12-13,49,"Partly Cloudy",0.0,-2,1
2012-12-14,93,Overcast,9.8,1,5
2012-12-15,77,Cloudy,4.1,1,3
2012-12-16,82,Mist,0.1,1,5
