date,cloud_cover,weather_desc,precip_mm,min_temp,max_temp,wind_speed
2015-04-01,14,"Patchy rain nearby",27.9,14,23,11
2015-04-02,22,"Patchy light rain in area with thunder",12.3,9,22,9
2015-04-03,42,"Light rain shower",11.9,10,23,8
2015-04-04,14,"Patchy rain nearby",13.6,13,23,12
2015-04-05,100,"Moderate or heavy rain in area with thunder",45.0,14,22,8
2015-04-06,49,"Moderate or heavy rain shower",16.9,12,23,7
2015-04-07,20,"Patchy rain nearby",5.5,14,24,5
2015-04-08,12,Sunny,7.3,15,24,9
2015-04-09,6,Sunny,4.4,10,24,13
2015-04-10,11,Sunny,2.4,15,25,8
2015-04-11,3,Sunny,1.1,16,27,6
2015-04-12,14,"Patchy rain nearby",6.0,16,25,4
2015-04-13,100,"Light rain",18.1,15,21,5
2015-04-14,17,"Patchy rain nearby",10.2,15,25,4
2015-04-15,12,Sunny,6.2,18,27,5
2015-04-16,50,"Patchy rain nearby",3.2,17,27,6
2015-04-17,21,"Patchy rain nearby",14.1,17,24,10
2015-04-18,11,"Patchy rain nearby",38.7,11,23,10
2015-04-19,32,"Patchy rain nearby",11.5,10,23,8
2015-04-20,15,Sunny,9.1,10,25,5
2015-04-21,34,"Patchy rain nearby",18.2,11,25,7
2015-04-22,89,"Moderate or heavy rain shower",24.1,17,24,8
2015-04-23,21,"Patchy light rain in area with thunder",21.7,11,25,7
2015-04-24,41,"Moderate or heavy rain shower",38.3,11,23,5
2015-04-25,16,"Moderate or heavy rain shower",24.3,15,23,5
2015-04-26,36,"Patchy light rain in area with thunder",17.4,14,23,5
2015-04-27,26,"Patchy rain nearby",14.5,13,23,3
2015-04-28,26,"Patchy rain nearby",14.3,10,24,5
2015-04-29,50,"Light rain shower",22.3,10,23,5
2015-04-30,21,"Patchy rain nearby",4.8,14,24,5
2015-05-01,46,"Patchy rain nearby",6.1,16,25,5
2015-05-02,53,"Light rain shower",7.9,18,25,6
2015-05-03,47,"Patchy light rain in area with thunder",11.6,13,26,6
2015-05-04,13,"Patchy rain nearby",3.9,17,26,6
2015-05-05,11,Sunny,3.0,17,28,9
2015-05-06,9,Sunny,5.1,17,27,7
2015-05-07,9,"Patchy rain nearby",21.9,17,27,6
2015-05-08,12,"Patchy light rain in area with thunder",14.3,16,27,5
2015-05-09,13,Sunny,0.4,16,28,4
2015-05-10,49,"Patchy rain nearby",12.3,17,27,4
2015-05-11,46,"Patchy rain nearby",8.9,19,27,5
2015-05-12,65,"Patchy rain nearby",6.8,17,25,6
2015-05-13,44,"Light rain shower",9.8,12,25,6
2015-05-14,28,"Patchy rain nearby",7.4,13,26,8
2015-05-15,32,"Patchy rain nearby",8.9,13,26,8
2015-05-16,22,"Patchy rain nearby",9.7,15,27,8
2015-05-17,100,"Light rain shower",13.8,17,24,7
2015-05-18,65,"Light rain shower",19.2,18,25,5
2015-05-19,37,"Patchy rain nearby",18.0,17,26,5
2015-05-20,46,"Patchy rain nearby",9.8,14,28,6
2015-05-21,68,"Light rain shower",8.5,19,25,6
2015-05-22,50,"Patchy rain nearby",5.6,14,27,8
2015-05-23,52,"Light rain shower",7.1,13,26,8
2015-05-24,39,"Light rain shower",16.9,14,26,9
2015-05-25,42,"Moderate or heavy rain shower",17.1,19,25,8
2015-05-26,91,"Light rain shower",9.2,17,27,8
2015-05-27,43,"Patchy rain nearby",11.8,19,27,9
2015-05-28,32,"Patchy rain nearby",11.1,18,25,6
2015-05-29,100,"Light rain shower",14.8,19,25,5
2015-05-30,37,"Patchy rain nearby",6.8,18,27,6
2015-05-31,59,"Light rain shower",7.0,13,25,9
2015-06-01,40,"Light rain shower",11.6,20,25,9
2015-06-02,62,"Light rain shower",6.5,15,27,8
2015-06-03,57,"Light rain shower",7.4,19,26,5
2015-06-04,37,"Patchy rain nearby",3.7,19,27,6
2015-06-05,46,"Patchy rain nearby",6.2,19,28,8
2015-06-06,33,"Patchy rain nearby",8.1,19,27,9
2015-06-07,39,"Light rain shower",6.2,20,27,10
2015-06-08,88,"Light rain shower",7.3,19,26,11
2015-06-09,84,"Light rain shower",10.7,19,26,10
2015-06-10,66,"Moderate or heavy rain shower",23.3,19,25,9
2015-06-11,95,"Moderate rain",30.1,18,25,6
2015-06-12,74,"Moderate or heavy rain shower",15.8,18,25,10
2015-06-13,82,"Light rain shower",21.3,18,21,10
2015-06-14,98,"Moderate rain",43.0,19,25,10
2015-06-15,87,"Light rain",31.2,18,24,7
2015-06-16,97,"Moderate rain",100.4,18,24,6
2015-06-17,96,"Light rain",19.5,20,23,6
2015-06-18,83,"Moderate rain",16.3,20,27,5
2015-06-19,50,"Patchy rain nearby",16.4,20,29,5
2015-06-20,79,"Light rain shower",25.9,20,27,6
2015-06-21,36,"Patchy rain nearby",12.1,19,26,9
2015-06-22,49,"Patchy rain nearby",15.4,13,26,9
2015-06-23,56,"Patchy light drizzle",10.2,19,24,10
2015-06-24,75,"Light drizzle",14.8,14,26,11
2015-06-25,84,"Light rain shower",37.2,20,26,5
2015-06-26,67,"Patchy light rain",14.8,20,24,15
2015-06-27,71,"Patchy light rain",7.0,19,27,12
2015-06-28,100,"Light rain",12.5,19,21,10
2015-06-29,49,"Patchy rain nearby",6.9,14,26,8
2015-06-30,35,"Patchy rain nearby",3.0,19,26,9
2015-07-01,80,"Cloudy ",3.9,19,26,9
2015-07-02,57,"Light rain shower",5.6,14,27,6
2015-07-03,60,"Patchy light drizzle",7.2,15,26,8
2015-07-04,61,"Patchy light drizzle",7.8,16,28,8
2015-07-05,74,"Moderate rain at times",82.6,19,23,7
2015-07-06,100,"Moderate rain",67.2,19,23,4
2015-07-07,73,"Light rain shower",42.0,19,23,5
2015-07-08,100,"Heavy rain",107.1,18,22,9
2015-07-09,100,"Moderate rain",25.5,19,24,10
2015-07-10,100,"Heavy rain",89.8,19,22,8
2015-07-11,100,"Heavy rain",48.3,19,24,5
2015-07-12,80,"Light rain",6.4,20,25,6
2015-07-13,47,"Patchy light drizzle",4.8,20,27,7
2015-07-14,54,"Light rain shower",9.9,20,26,7
2015-07-15,97,"Moderate rain",28.1,19,23,7
2015-07-16,100,"Heavy rain",91.9,19,24,6
2015-07-17,72,"Patchy light rain",8.8,13,26,5
2015-07-18,89,"Light rain",14.2,19,22,5
2015-07-19,59,"Patchy light drizzle",5.0,18,24,8
2015-07-20,91,"Moderate rain",28.8,13,25,5
2015-07-21,89,"Light rain",14.3,19,25,5
2015-07-22,90,"Light drizzle",17.3,18,26,8
2015-07-23,65,"Light rain shower",26.0,19,24,10
2015-07-24,89,"Moderate rain",29.1,20,24,9
2015-07-25,50,"Patchy rain nearby",4.4,18,27,5
2015-07-26,18,Sunny,3.3,20,28,11
2015-07-27,69,"Moderate rain at times",28.9,19,23,10
2015-07-28,25,"Patchy rain nearby",6.0,19,26,6
2015-07-29,42,"Light rain shower",17.5,18,28,11
2015-07-30,47,"Patchy rain nearby",9.9,17,25,15
2015-07-31,100,"Heavy rain",66.0,17,19,15
2015-08-01,100,"Heavy rain",65.6,18,20,11
2015-08-02,48,"Partly Cloudy ",7.2,19,28,6
2015-08-03,51,"Partly Cloudy ",6.2,19,28,9
2015-08-04,55,"Patchy light drizzle",5.9,14,25,6
2015-08-05,67,"Patchy light drizzle",6.7,19,26,6
2015-08-06,91,"Light rain",10.9,15,27,4
2015-08-07,85,"Light rain shower",23.0,19,24,4
2015-08-08,100,"Heavy rain",55.8,20,27,3
2015-08-09,58,"Patchy rain nearby",27.8,20,29,4
2015-08-10,42,"Light rain shower",23.7,20,28,4
2015-08-11,24,"Patchy rain nearby",23.9,20,29,5
2015-08-12,92,"Light rain shower",16.6,17,27,6
2015-08-13,47,"Patchy rain nearby",11.3,15,28,8
2015-08-14,44,"Patchy rain nearby",7.8,19,25,8
2015-08-15,89,"Light rain",11.3,19,25,8
2015-08-16,99,"Heavy rain",59.1,18,25,9
2015-08-17,96,"Moderate rain",53.8,18,25,11
2015-08-18,100,"Heavy rain",53.6,19,23,11
2015-08-19,100,"Heavy rain",50.5,19,22,10
2015-08-20,79,"Light rain",13.2,19,26,11
2015-08-21,90,"Light rain",50.5,19,23,6
2015-08-22,100,"Light rain",17.8,19,22,4
2015-08-23,87,"Light rain shower",13.5,20,23,6
2015-08-24,91,"Heavy rain",59.0,20,24,4
2015-08-25,100,"Heavy rain",71.8,19,25,4
2015-08-26,79,"Light rain shower",13.3,19,24,5
2015-08-27,96,"Moderate rain",31.0,19,23,7
2015-08-28,75,"Patchy light drizzle",7.9,19,25,9
2015-08-29,84,"Light drizzle",19.5,18,25,12
2015-08-30,92,"Moderate rain",55.4,19,25,13
2015-08-31,100,"Heavy rain",105.5,19,21,10
2015-09-01,72,"Heavy rain at times",148.9,19,23,5
2015-09-02,100,"Heavy rain",135.9,18,21,4
2015-09-03,97,"Light rain",39.7,19,21,5
2015-09-04,96,"Light rain",16.7,18,23,5
2015-09-05,100,"Heavy rain",57.9,18,21,5
2015-09-06,36,"Patchy rain nearby",6.7,20,27,5
2015-09-07,21,Sunny,6.5,19,27,4
2015-09-08,24,Sunny,2.1,14,28,4
2015-09-09,34,"Partly Cloudy ",6.3,20,28,3
2015-09-10,35,"Patchy rain nearby",14.5,20,28,5
2015-09-11,77,"Light rain shower",26.5,20,27,4
2015-09-12,38,"Patchy rain nearby",18.1,19,27,4
2015-09-13,60,"Patchy rain nearby",18.5,19,28,4
2015-09-14,45,"Light rain shower",16.0,16,26,5
2015-09-15,80,"Moderate rain",24.6,18,25,5
2015-09-16,21,Sunny,45.1,20,27,4
2015-09-17,42,"Patchy rain nearby",25.7,20,27,4
2015-09-18,19,"Patchy light rain in area with thunder",25.6,19,28,6
2015-09-19,20,"Patchy rain nearby",24.2,19,29,7
2015-09-20,85,"Moderate rain",99.7,18,20,12
2015-09-21,68,"Patchy light drizzle",7.9,13,25,8
2015-09-22,92,"Light drizzle",8.0,19,25,6
2015-09-23,96,"Light rain",17.6,18,23,7
2015-09-24,100,"Moderate rain",26.2,18,21,5
2015-09-25,89,"Patchy rain nearby",2.3,15,25,6
2015-09-26,9,Sunny,0.3,14,28,4
2015-09-27,62,"Partly Cloudy ",0.9,16,26,4
2015-09-28,19,Sunny,0.4,18,29,3
2015-09-29,30,"Partly Cloudy ",0.8,18,27,5
2015-09-30,49,"Patchy rain nearby",8.3,20,27,2
2015-10-01,65,"Patchy rain nearby",1.9,20,26,3
2015-10-02,52,"Light rain shower",6.7,14,26,4
2015-10-03,61,"Patchy light drizzle",5.9,18,25,3
2015-10-04,37,"Partly Cloudy ",1.3,16,26,6
2015-10-05,52,"Moderate or heavy rain shower",29.1,10,26,5
2015-10-06,30,"Patchy rain nearby",34.3,16,26,4
2015-10-07,30,"Patchy rain nearby",16.0,9,27,5
2015-10-08,76,"Light rain",74.8,18,22,4
2015-10-09,95,"Light drizzle",14.5,12,24,5
2015-10-10,12,Sunny,3.6,14,26,5
2015-10-11,15,"Patchy rain nearby",18.8,14,24,7
2015-10-12,40,"Moderate or heavy rain shower",27.3,14,23,7
2015-10-13,41,"Light rain shower",18.9,9,23,6
2015-10-14,42,"Moderate or heavy rain shower",33.1,13,23,5
2015-10-15,13,"Patchy rain nearby",12.0,4,24,4
2015-10-16,24,"Patchy rain nearby",18.1,7,23,3
2015-10-17,27,"Patchy rain nearby",13.7,8,23,4
2015-10-18,18,Sunny,5.7,12,25,4
2015-10-19,28,"Partly Cloudy ",3.7,6,25,3
2015-10-20,79,"Cloudy ",2.4,10,23,2
2015-10-21,65,"Cloudy ",2.2,8,24,2
2015-10-22,25,Sunny,1.6,10,26,2
2015-10-23,44,"Patchy rain nearby",4.8,6,23,3
2015-10-24,26,"Partly Cloudy ",0.7,5,24,4
2015-10-25,16,Sunny,0.1,3,25,3
2015-10-26,4,Sunny,0.0,4,26,2
2015-10-27,13,Sunny,0.0,2,26,3
2015-10-28,5,Sunny,0.0,3,26,3
2015-10-29,5,Sunny,0.3,9,26,4
2015-10-30,10,Sunny,1.6,12,25,4
2015-10-31,11,Sunny,7.8,11,22,6
2015-11-01,28,"Patchy rain nearby",15.4,5,21,5
2015-11-02,34,"Patchy rain nearby",8.2,4,21,4
2015-11-03,59,"Partly Cloudy ",5.3,10,22,3
2015-11-04,34,"Partly Cloudy ",2.8,5,21,3
2015-11-05,14,Sunny,0.5,10,21,3
2015-11-06,34,"Partly Cloudy ",1.9,11,20,4
2015-11-07,32,"Partly Cloudy ",1.2,10,21,5
2015-11-08,4,Sunny,0.0,1,24,5
2015-11-09,7,Sunny,0.1,1,24,4
2015-11-10,3,Sunny,0.0,-1,24,3
2015-11-11,8,Sunny,0.4,0,24,3
2015-11-12,18,Sunny,0.2,2,22,4
