date,cloud_cover,weather_desc,precip_mm,min_temp,max_temp,wind_speed
2012-04-01,12,Sunny,4.4,17,28,4
2012-04-02,4,Sunny,1.6,18,29,4
2012-04-03,5,Sunny,6.1,17,29,6
2012-04-04,10,Sunny,31.6,18,27,6
2012-04-05,16,"Moderate or heavy rain shower",25.0,14,24,10
2012-04-06,51,"Moderate rain at times",27.1,14,18,7
2012-04-07,48,"Light rain shower",28.2,15,21,7
2012-04-08,65,"Moderate or heavy rain shower",42.5,16,20,5
2012-04-09,100,"Moderate or heavy rain shower",42.4,14,20,7
2012-04-10,54,"Patchy light rain",26.5,16,20,5
2012-04-11,47,"Light rain shower",34.1,17,22,6
2012-04-12,77,"Moderate or heavy rain shower",45.7,17,20,7
2012-04-13,17,"Moderate or heavy rain shower",23.1,16,23,9
2012-04-14,9,"Patchy rain nearby",12.5,15,24,8
2012-04-15,12,"Patchy rain nearby",18.9,17,24,10
2012-04-16,65,"Moderate or heavy rain shower",14.4,15,23,10
2012-04-17,11,"Patchy rain nearby",9.4,17,24,9
2012-04-18,11,"Patchy rain nearby",16.0,18,24,10
2012-04-19,10,"Moderate or heavy rain shower",15.7,18,25,9
2012-04-20,18,"Patchy rain nearby",12.7,18,25,4
2012-04-21,24,"Moderate or heavy rain shower",28.7,18,25,6
2012-04-22,22,"Moderate or heavy rain shower",12.8,18,25,12
2012-04-23,5,Sunny,4.2,18,25,14
2012-04-24,8,"Patchy rain nearby",8.1,19,25,13
2012-04-25,11,"Patchy rain nearby",20.5,18,25,9
2012-04-26,9,"Moderate or heavy rain shower",25.8,17,26,8
2012-04-27,14,"Patchy rain nearby",23.6,18,25,9
2012-04-28,10,"Patchy light rain in area with thunder",22.2,18,24,9
2012-04-29,5,"Patchy rain nearby",12.1,18,25,11
2012-04-30,12,"Moderate or heavy rain shower",28.3,18,23,9
2012-05-01,6,"Patchy light rain in area with thunder",27.0,16,24,8
2012-05-02,18,"Moderate or heavy rain shower",21.8,17,24,6
2012-05-03,9,"Patchy rain nearby",9.0,15,24,7
2012-05-04,48,"Moderate or heavy rain shower",14.7,17,24,5
2012-05-05,8,Sunny,4.0,17,26,4
2012-05-06,7,Sunny,5.5,17,28,4
2012-05-07,4,Sunny,1.1,17,29,4
2012-05-08,8,Sunny,8.1,19,29,6
2012-05-09,14,Sunny,11.0,19,29,5
2012-05-10,14,Sunny,2.6,19,28,5
2012-05-11,19,"Patchy rain nearby",9.3,20,28,7
2012-05-12,71,"Light rain shower",22.5,20,25,8
2012-05-13,58,"Light rain shower",15.2,20,23,8
2012-05-14,21,"Patchy rain nearby",6.3,19,25,9
2012-05-15,33,"Patchy rain nearby",11.5,20,26,9
2012-05-16,10,"Patchy rain nearby",16.8,18,26,8
2012-05-17,9,"Patchy rain nearby",9.4,17,26,6
2012-05-18,14,"Patchy rain nearby",12.2,20,28,5
2012-05-19,18,"Patchy rain nearby",7.5,20,27,6
2012-05-20,45,"Light rain shower",19.2,20,26,5
