date,cloud_cover,weather_desc,precip_mm,min_temp,max_temp,wind_speed
2011-04-01,33,"Patchy rain nearby",3.5,13,22,5
2011-04-02,21,"Patchy rain nearby",4.8,15,22,7
2011-04-03,13,"Patchy rain nearby",1.8,13,24,6
2011-04-04,9,"Patchy rain nearby",9.6,16,24,7
2011-04-05,9,Sunny,6.0,13,24,8
2011-04-06,27,"Patchy rain nearby",3.2,14,24,8
2011-04-07,3,Sunny,0.0,15,25,7
2011-04-08,5,Sunny,5.2,15,26,9
2011-04-09,6,Sunny,16.0,17,25,6
2011-04-10,6,"Patchy light rain in area with thunder",20.4,17,24,6
2011-04-11,6,"Moderate or heavy rain shower",20.3,17,26,6
2011-04-12,16,"Moderate or heavy rain shower",19.1,17,25,7
2011-04-13,28,"Moderate or heavy rain shower",29.2,17,26,8
2011-04-14,48,"Moderate or heavy rain shower",27.5,17,24,8
2011-04-15,8,Sunny,14.2,15,24,6
2011-04-16,7,Sunny,4.7,17,26,8
2011-04-17,10,"Patchy rain nearby",5.1,17,27,6
2011-04-18,23,"Patchy rain nearby",15.7,20,27,7
2011-04-19,46,"Torrential rain shower",25.5,17,24,7
2011-04-20,60,"Patchy light rain",20.4,18,22,8
2011-04-21,14,"Patchy rain nearby",6.9,18,24,10
2011-04-22,11,"Patchy rain nearby",8.1,18,25,8
2011-04-23,83,"Moderate rain",10.7,13,23,4
2011-04-24,8,Sunny,5.7,14,25,6
2011-04-25,10,Sunny,14.0,15,24,4
2011-04-26,15,"Patchy rain nearby",9.3,16,24,4
2011-04-27,24,"Patchy rain nearby",41.6,18,24,5
2011-04-28,27,"Patchy rain nearby",27.5,16,23,5
2011-04-29,20,Sunny,6.9,18,25,5
2011-04-30,31,"Patchy rain nearby",16.2,19,25,6
2011-05-01,24,"Patchy rain nearby",17.0,18,25,7
2011-05-02,56,"Light rain shower",14.7,19,24,6
2011-05-03,24,"Moderate or heavy rain shower",28.5,16,24,5
2011-05-04,46,"Light rain shower",15.4,17,22,3
2011-05-05,25,"Patchy rain nearby",14.6,18,25,4
2011-05-06,25,Sunny,8.7,18,27,5
2011-05-07,30,"Patchy rain nearby",17.0,19,26,7
2011-05-08,27,"Partly Cloudy ",5.6,18,27,6
2011-05-09,17,"Patchy rain nearby",2.0,17,27,5
2011-05-10,10,Sunny,10.1,18,28,7
2011-05-11,22,"Patchy rain nearby",12.7,20,26,7
2011-05-12,25,"Patchy rain nearby",13.8,20,26,7
2011-05-13,71,"Moderate rain at times",31.2,20,23,5
2011-05-14,26,"Patchy rain nearby",15.6,21,26,7
2011-05-15,37,"Patchy rain nearby",15.1,18,25,7
2011-05-16,27,"Partly Cloudy ",18.7,19,29,5
2011-05-17,23,"Patchy rain nearby",34.8,21,27,5
2011-05-18,57,"Moderate rain at times",41.1,18,24,6
2011-05-19,33,"Patchy rain nearby",23.7,18,25,8
2011-05-20,58,"Light rain shower",16.4,16,24,8
2011-05-21,70,"Light rain shower",69.0,19,22,8
2011-05-22,78,"Light rain shower",14.3,19,22,8
2011-05-23,36,"Patchy rain nearby",18.9,19,26,8
2011-05-24,41,"Light rain shower",8.6,17,25,8
2011-05-25,37,"Patchy rain nearby",19.4,19,25,3
2011-05-26,30,"Partly Cloudy ",9.0,19,29,4
2011-05-27,71,"Light rain shower",16.1,19,25,4
2011-05-28,29,"Patchy rain nearby",14.0,20,28,5
2011-05-29,48,"Light rain shower",16.8,18,24,5
2011-05-30,87,"Light rain",59.1,19,21,4
2011-05-31,100,"Moderate rain",41.4,17,25,7
2011-06-01,66,"Light rain shower",6.4,17,25,7
2011-06-02,48,"Light rain shower",17.2,18,27,8
2011-06-03,62,"Light rain shower",18.8,20,27,6
2011-06-04,60,"Moderate or heavy rain shower",13.9,19,25,6
2011-06-05,47,"Patchy rain nearby",12.0,19,27,5
2011-06-06,41,"Patchy rain nearby",7.5,19,28,5
2011-06-07,26,"Patchy rain nearby",8.0,21,29,5
2011-06-08,31,"Patchy rain nearby",22.2,18,28,6
2011-06-09,85,"Light rain shower",15.9,20,23,3
2011-06-10,66,"Light rain shower",10.2,18,22,6
2011-06-11,82,"Light rain shower",8.6,18,26,5
2011-06-12,76,"Light rain shower",28.2,19,25,5
2011-06-13,27,"Patchy rain nearby",35.4,20,28,3
2011-06-14,100,"Heavy rain",109.3,17,21,4
2011-06-15,77,"Light rain",50.6,20,23,6
2011-06-16,83,"Light rain shower",32.3,20,26,5
2011-06-17,43,"Patchy rain nearby",15.0,20,28,6
2011-06-18,31,"Patchy rain nearby",25.2,21,28,6
2011-06-19,44,"Patchy rain nearby",10.8,19,27,7
2011-06-20,62,"Light rain shower",11.8,19,28,8
2011-06-21,67,"Patchy light drizzle",14.2,20,25,9
2011-06-22,59,"Partly Cloudy ",11.5,20,25,8
2011-06-23,72,"Cloudy ",3.4,19,27,7
2011-06-24,64,"Light rain shower",14.1,21,27,5
2011-06-25,40,"Patchy light rain",18.9,20,25,7
2011-06-26,83,"Light rain shower",12.5,20,27,6
2011-06-27,77,"Light drizzle",68.0,18,24,9
2011-06-28,100,"Heavy rain",34.7,18,22,10
2011-06-29,99,"Moderate rain",23.2,18,22,8
2011-06-30,100,"Moderate rain",40.1,18,20,8
2011-07-01,90,"Light rain",36.3,18,21,8
2011-07-02,100,"Heavy rain",173.9,19,21,8
2011-07-03,100,"Heavy rain",59.5,19,23,8
2011-07-04,78,"Light rain",7.9,18,22,6
2011-07-05,71,"Patchy light rain",8.8,18,23,8
2011-07-06,76,"Light rain shower",9.1,18,24,10
2011-07-07,77,"Light rain shower",8.9,17,24,9
2011-07-08,87,"Light rain",20.1,19,21,8
2011-07-09,88,"Light drizzle",12.4,19,23,7
2011-07-10,51,"Partly Cloudy ",8.2,20,27,6
2011-07-11,61,"Partly Cloudy ",11.8,20,26,5
2011-07-12,69,"Light rain shower",9.1,19,25,6
2011-07-13,98,"Heavy rain",39.6,18,22,7
2011-07-14,100,"Heavy rain",36.2,18,22,7
2011-07-15,100,"Moderate rain",38.0,19,22,6
2011-07-16,100,"Heavy rain",117.5,18,22,7
2011-07-17,87,"Moderate rain",15.5,18,23,8
2011-07-18,100,"Heavy rain",68.2,18,23,8
2011-07-19,100,"Light rain",19.4,20,23,6
2011-07-20,52,"Light rain shower",24.3,19,25,8
2011-07-21,90,"Light rain shower",11.7,18,27,9
2011-07-22,35,"Patchy rain nearby",15.1,19,25,8
2011-07-23,89,"Light rain",15.6,18,21,6
2011-07-24,43,"Partly Cloudy ",13.4,19,26,4
2011-07-25,55,"Light rain shower",18.1,19,28,5
2011-07-26,46,"Patchy rain nearby",11.2,19,28,7
2011-07-27,91,"Overcast ",10.3,19,24,7
2011-07-28,78,"Cloudy ",10.8,21,27,5
2011-07-29,71,"Patchy light rain",12.0,20,23,6
2011-07-30,30,"Partly Cloudy ",4.5,20,28,5
2011-07-31,55,"Partly Cloudy ",8.0,21,28,5
2011-08-01,54,"Light rain shower",16.8,22,30,4
2011-08-02,48,"Patchy light drizzle",38.6,21,29,7
2011-08-03,75,"Moderate rain at times",13.6,20,24,6
2011-08-04,77,"Light rain",12.8,19,23,12
2011-08-05,72,"Patchy light rain",18.1,19,23,9
2011-08-06,96,"Heavy rain",38.5,19,22,7
2011-08-07,100,"Heavy rain",98.5,19,22,6
2011-08-08,100,"Heavy rain",44.2,18,22,7
2011-08-09,100,"Heavy rain",91.9,18,21,9
2011-08-10,100,"Moderate rain",28.8,19,20,6
2011-08-11,42,"Patchy rain nearby",7.5,20,25,4
2011-08-12,51,"Light rain shower",28.1,19,26,7
2011-08-13,56,"Partly Cloudy ",21.0,17,27,8
2011-08-14,100,"Moderate rain",40.5,17,22,7
2011-08-15,97,"Heavy rain",42.7,18,21,7
2011-08-16,100,"Heavy rain",91.1,18,21,7
2011-08-17,100,"Moderate rain",27.6,18,21,6
2011-08-18,96,"Moderate rain",35.7,20,23,5
2011-08-19,33,"Partly Cloudy ",15.7,19,26,5
2011-08-20,52,"Partly Cloudy ",12.9,20,29,5
2011-08-21,79,"Light drizzle",14.6,18,24,6
2011-08-22,90,"Light rain",30.9,18,23,5
2011-08-23,100,"Heavy rain",82.3,18,23,5
2011-08-24,100,"Heavy rain",112.9,20,22,5
2011-08-25,56,"Patchy light rain",20.9,20,24,4
